spindle_vibration,spindle_motor_current,coolant_flow_rate,axis_servo_load,cutting_zone_temperature
-0.349672,0.624885,-1.809403,-0.314544,-1.536336
-0.334798,0.264048,0.969717,-0.242229,2.481560
0.931177,1.235994,0.739121,-0.257769,-0.476874
-0.913776,0.031863,-3.043345,-0.486630,-0.032052
-1.396501,-1.072781,0.404193,0.605825,0.311071
-2.274331,1.857491,-0.233488,3.011874,-0.044006
0.538249,-0.448849,0.635017,1.717460,0.487596
1.012784,0.668738,-1.658688,0.635245,-0.686639
0.496720,-0.984979,1.343860,-0.549669,2.100333
-0.350640,0.872399,-1.307729,0.188052,-0.739339
0.595174,1.468895,1.128488,-0.609114,-1.186198
-0.360266,-1.055605,1.039053,0.344997,0.588465
-1.447506,-0.976203,-0.968099,0.322278,0.356791
-2.213744,1.265422,1.943987,-1.807284,-0.889482
0.751143,-0.772403,-0.371624,-0.210211,-1.826616
-0.573350,-1.242039,-0.383063,0.000471,0.261390
0.076731,-0.748166,0.200907,2.023030,-0.873180
-3.159795,-1.100182,-1.239503,-1.790151,-0.591232
-0.884407,-0.089003,0.470866,2.420326,0.633387
-0.087654,-2.028503,-1.548881,-1.223650,-0.358450
-2.013062,0.164573,1.333245,0.495074,1.328836
-0.281137,0.505825,0.075326,0.677261,0.924220
-1.206683,-1.477747,-1.068874,1.027890,0.516097
1.015823,-0.889256,0.089430,0.495912,-1.911811
-0.411680,0.327169,0.236189,-0.764829,-0.203307
0.212174,0.238540,0.744282,0.411373,-0.089709
0.183658,0.174344,-1.764127,0.272271,-1.417917
-0.334562,-0.359969,0.788283,-0.174643,2.212786
0.316317,0.322006,-1.981730,0.808288,0.550563
0.249242,0.257246,-0.298742,0.495682,-0.891532
-0.313447,-0.258860,-0.578772,-0.509866,0.380979
0.758735,0.854203,0.873108,-1.809760,1.332766
0.773021,0.779341,0.757172,-1.021013,-0.672776
0.124163,0.123150,-0.062417,0.385020,-0.151672
0.721213,0.639685,1.356376,1.087704,0.021341
0.097870,0.133335,-0.474122,0.626602,0.229765
-0.127159,-0.051319,0.830396,0.307870,1.799562
0.852423,0.843881,0.170280,0.229963,0.590262
0.650686,0.671168,0.177130,-1.329476,-0.283016
0.109557,0.102639,-0.698644,-0.369898,-1.088515
0.317776,0.258506,1.627774,-0.365701,1.425885
0.275138,0.280724,1.495019,-0.159105,1.848246
0.004324,0.029569,0.652230,0.136110,-0.542870
1.061946,1.044632,0.096771,-1.410997,-0.031247
-0.440059,-0.379483,0.594451,1.446393,-0.040893
0.951255,1.025912,-0.955751,-0.539313,-0.802991
0.844399,0.899096,0.582709,-1.038197,-0.062646
0.326218,0.269149,1.163663,2.095230,1.726687
0.146182,0.207731,-1.865850,-1.212181,0.556089
0.054369,0.039298,1.733132,-0.186899,0.631505
0.410550,0.443024,0.920871,-0.215386,-0.826814
0.874108,0.815362,1.022458,0.309096,0.706080
-0.348453,-0.273881,-0.438498,-0.410241,-1.780975
0.308945,0.258138,1.003424,-0.329085,-0.689731
1.274894,1.202948,-1.196300,-0.705079,1.100986
0.156987,0.153178,-0.651801,-1.170595,-0.314539
0.723922,0.653991,-0.039263,-2.382758,-1.039043
1.144411,1.130582,0.587548,1.064177,0.616618
0.851987,0.885028,0.094268,-0.376979,0.698419
0.939411,0.947342,1.513929,0.334074,2.347929
-0.138108,-0.087343,0.063867,0.990858,-0.371445
1.660289,1.723698,0.549643,-0.596780,0.056258
0.283413,0.286928,-1.530524,-1.129814,-1.372140
1.411794,1.424694,-1.464899,-0.234106,1.303741
0.677336,0.616117,-0.646982,0.191294,1.156267
0.290344,0.190176,0.338279,-0.262477,-1.597523
-0.235261,-0.259760,-1.584244,-1.291381,0.439771
1.481801,1.503013,-0.870051,0.336349,-1.338181
1.342639,1.319575,2.233149,0.805950,0.745371
1.146165,1.219029,-0.538482,-0.456861,-0.864000
1.302258,1.264704,0.115995,0.401257,1.407900
-0.618695,-0.681040,1.047228,2.038027,0.332557
0.990314,0.975580,0.993460,-0.014490,-0.968657
1.828896,1.780645,0.244024,-0.060471,-1.053032
1.006550,0.983969,0.864094,1.203782,0.533670
1.647219,1.669443,-1.895302,-0.845684,0.036584
0.832654,0.869147,-0.657288,1.306803,-0.607705
-0.152286,-0.134367,-0.576756,-0.242575,1.533933
1.391360,1.412292,0.483612,-1.370462,-0.606224
0.527669,0.569336,-0.168521,0.329246,0.116247
0.573651,0.646116,1.554560,1.204203,1.513519
0.619168,0.650268,1.156004,1.382721,-1.420062
0.244830,0.295518,-0.881209,-0.901241,-0.619746
2.076992,2.098193,-0.438440,-0.079151,1.023201
0.329326,0.308383,-1.938210,0.641706,0.371741
-0.571241,-0.587200,-2.676686,-0.599808,0.416120
-0.421487,-0.499555,0.352286,-1.015714,-0.391432
1.750164,1.829090,-0.614277,0.643313,2.095208
1.577966,1.574980,-0.907490,0.901844,-0.205877
2.211004,2.289883,-0.517681,0.126904,0.200125
1.837356,1.845689,-1.288166,-0.132754,0.041235
1.315348,1.268179,-0.841008,0.633109,-2.230023
1.842651,1.831581,-0.060397,-1.533845,-0.243909
0.896204,0.961098,2.058319,0.029384,2.279050
2.205571,2.204684,0.883755,0.131080,0.775468
2.727679,2.698965,-0.407330,1.205425,-0.731842
0.022079,-0.010597,0.009734,0.344352,0.753278
2.315469,2.325057,1.171470,-1.963777,0.012014
0.535231,0.523217,1.178266,-0.895227,0.754399
0.665281,0.682302,-1.055256,0.493180,1.878184
2.100650,2.065229,-0.161972,0.306479,0.357288
1.780737,1.739380,0.861113,-1.566180,-0.313743
1.686983,1.722617,-0.858081,0.577492,1.725438
0.833205,0.866005,-0.185600,1.386561,-1.583042
0.980629,0.918089,-1.699336,1.198011,0.288719
1.939303,1.975344,-1.677399,0.372741,-0.829583
0.303259,0.226016,-0.929505,-1.860197,-0.595515
0.590576,0.620226,2.208608,-1.217321,0.830017
0.837217,0.816965,-0.310221,-0.131984,0.480472
0.190357,0.248804,-1.335178,0.606476,-1.221350
2.808359,2.809129,-0.345282,2.193988,-0.215306
1.041004,1.051166,0.654605,0.491537,1.026274
2.527881,2.466628,-0.409747,-0.090751,0.923249
0.276224,0.277812,0.463692,-1.466155,-0.031775
1.894721,1.877331,-0.185789,-0.651167,-1.220191
1.663679,1.669258,-1.032757,0.051975,-0.925300
3.275272,3.420709,-0.446106,1.687024,-1.003947
1.456873,1.303950,-0.652312,0.586529,-0.929797
2.625098,2.641920,0.481712,0.160659,-0.468326
2.617106,2.653158,-1.447940,0.435605,-1.659278
3.486272,3.419154,-0.277936,0.373020,-0.452911
2.962767,2.943141,-0.836070,0.304225,-0.161807
1.821052,1.874257,-1.434886,0.266044,-0.174230
3.940958,3.959138,-0.781824,0.134816,0.428387
2.666509,2.645727,-0.178064,-1.009481,0.374354
1.267801,1.215131,0.098175,0.496584,-0.217371
2.947474,2.911139,-0.424085,0.948022,-0.695089
3.453820,3.535652,0.643156,0.286969,-0.365065
3.532081,3.563878,-0.853039,-0.655390,0.834119
2.060768,2.164355,0.197295,-0.474636,1.568157
3.075044,3.075624,0.162413,-0.220574,-0.112873
1.902613,1.965994,-0.597022,0.168101,-1.054382
4.930541,4.948511,-1.718644,-1.823457,-0.821909
4.791330,4.800103,-0.504064,1.121977,0.890176
1.624235,1.633373,-0.911823,-1.375419,-0.958829
4.288718,4.239624,1.278265,-2.054102,-1.698226
3.926565,3.912032,-0.369448,1.885439,0.589414
2.233663,2.269468,-1.142584,-0.507623,0.210547
1.441241,1.468326,-1.637449,1.934450,-0.817254
0.729494,0.736446,0.646566,-0.906654,-0.229652
1.522329,1.443073,-0.248435,-0.021298,0.140763
1.439655,1.455902,-0.275965,1.585478,-0.191969
2.771989,2.787863,-0.491412,0.478527,1.410960
4.771282,4.739200,-0.633163,-0.127100,0.122600
0.579103,0.499515,0.225259,-0.105503,0.225279
