timestamp,temperature_f,humidity_rh,vpd_kpa,co2_ppm,ppfd_umol,substrate_moisture,ph,ec_ms_cm
2024-06-02 10:15:00,79.639,77.94,0.655,927.5,800.6,36.686,6.105,2.104
2024-06-02 10:30:00,80.197,74.367,0.687,969.8,811.5,39.194,6.279,1.941
2024-06-02 10:45:00,79.935,74.449,0.636,937.2,798.7,41.323,6.161,2.098
2024-06-02 11:00:00,80.057,76.314,0.615,954.1,809.3,41.071,6.205,2.106
2024-06-02 11:15:00,79.777,76.518,0.636,960.1,801.7,40.03,6.224,2.145
2024-06-02 11:30:00,80.441,76.566,0.596,890.2,803.1,33.327,6.052,2.089
2024-06-02 11:45:00,80.604,75.806,0.538,966.2,796.1,42.264,6.195,2.082
2024-06-02 12:00:00,81.308,78.262,0.51,937.8,799.7,36.543,6.177,1.998
2024-06-02 12:15:00,80.962,78.069,0.539,937.9,801.8,40.11,6.11,1.977
2024-06-02 12:30:00,81.052,77.175,0.493,948.9,803.7,36.245,6.221,2.101
2024-06-02 12:45:00,80.687,79.264,0.494,946.6,797.6,38.131,6.278,2.154
2024-06-02 13:00:00,81.397,80.63,0.546,947.1,806.1,39.218,6.212,2.108
2024-06-02 13:15:00,80.47,76.541,0.533,952.7,800.0,39.612,6.26,2.024
2024-06-02 13:30:00,80.878,78.758,0.501,968.8,796.0,36.021,6.106,1.979
2024-06-02 13:45:00,80.526,77.452,0.537,952.4,802.7,39.569,6.237,2.093
2024-06-02 14:00:00,79.446,77.271,0.463,940.7,800.0,40.882,6.307,2.064
2024-06-02 14:15:00,80.25,78.97,0.529,940.0,807.9,37.996,6.273,2.097
2024-06-02 14:30:00,80.023,79.948,0.578,942.0,793.9,37.453,6.152,2.088
2024-06-02 14:45:00,80.022,78.875,0.5,935.9,800.9,43.401,6.076,2.153
2024-06-02 15:00:00,80.575,78.822,0.555,948.9,798.8,41.617,6.159,2.129
2024-06-02 15:15:00,80.178,77.879,0.507,949.1,811.6,38.861,6.182,1.972
2024-06-02 15:30:00,80.385,74.814,0.513,944.5,810.6,44.057,6.147,2.15
2024-06-02 15:45:00,80.622,77.698,0.567,941.2,800.9,38.265,6.074,1.942
2024-06-02 16:00:00,80.827,77.447,0.526,940.2,806.4,39.325,6.141,2.136
2024-06-02 16:15:00,81.29,78.989,0.589,964.8,809.0,40.105,6.254,2.086
2024-06-02 16:30:00,79.951,79.401,0.496,924.1,810.4,40.512,6.334,2.031
2024-06-02 16:45:00,79.924,77.519,0.554,941.6,809.1,38.35,6.232,1.981
2024-06-02 17:00:00,80.725,78.006,0.52,935.3,798.5,38.514,6.359,2.043
2024-06-02 17:15:00,80.378,73.805,0.514,934.7,794.5,41.487,6.185,2.14
2024-06-02 17:30:00,80.531,78.074,0.546,940.1,813.8,34.825,6.02,2.012
2024-06-02 17:45:00,80.507,79.38,0.569,932.3,808.2,40.854,6.217,2.117
2024-06-02 18:00:00,80.636,76.877,0.578,942.2,800.0,41.651,5.979,1.951
2024-06-02 18:15:00,79.906,77.273,0.54,909.9,792.1,37.45,6.421,2.176
2024-06-02 18:30:00,80.294,77.273,0.504,901.8,799.1,37.204,6.192,1.938
2024-06-02 18:45:00,80.119,78.297,0.565,948.3,789.4,40.538,6.128,2.094
2024-06-02 19:00:00,80.495,75.247,0.537,947.3,804.9,38.746,6.338,2.121
2024-06-02 19:15:00,80.372,79.5,0.627,979.2,790.2,37.332,6.334,1.976
2024-06-02 19:30:00,79.839,77.028,0.567,938.0,794.8,37.786,6.136,1.988
2024-06-02 19:45:00,81.641,78.595,0.585,930.2,798.5,37.716,5.961,1.954
2024-06-02 20:00:00,79.595,73.5,0.502,966.5,799.6,41.323,6.237,2.105
2024-06-02 20:15:00,80.05,79.048,0.579,928.5,804.5,40.019,6.151,1.971
2024-06-02 20:30:00,79.908,78.173,0.563,924.1,800.2,40.027,6.256,2.159
2024-06-02 20:45:00,81.138,75.997,0.617,929.4,808.4,39.122,6.163,1.923
2024-06-02 21:00:00,80.414,74.881,0.589,970.3,793.6,39.544,6.135,2.006
2024-06-02 21:15:00,80.887,77.923,0.62,930.4,808.0,39.175,6.272,2.019
2024-06-02 21:30:00,80.475,77.769,0.517,953.2,805.2,40.068,6.338,2.151
2024-06-02 21:45:00,80.313,78.746,0.525,940.5,795.2,41.916,6.233,2.035
2024-06-02 22:00:00,81.097,73.659,0.469,955.9,800.5,39.451,6.081,2.048
2024-06-02 22:15:00,81.502,79.648,0.557,931.2,796.8,35.167,6.223,2.109
2024-06-02 22:30:00,79.712,76.677,0.504,920.7,800.4,35.248,6.255,2.103
2024-06-02 22:45:00,80.374,73.039,0.51,964.7,777.8,38.374,6.094,2.106
2024-06-02 23:00:00,80.162,78.808,0.573,976.7,798.4,39.677,6.066,2.133
2024-06-02 23:15:00,80.12,76.878,0.549,908.7,801.8,40.741,6.226,1.939
2024-06-02 23:30:00,80.438,79.484,0.475,918.5,807.0,39.486,6.237,2.18
2024-06-02 23:45:00,80.734,79.316,0.658,935.7,793.6,39.77,6.24,2.013
2024-06-03 00:00:00,79.984,82.62,0.563,925.4,807.3,38.804,6.177,2.089
2024-06-03 00:15:00,79.854,78.705,0.627,949.3,797.0,38.087,6.163,2.032
2024-06-03 00:30:00,80.311,79.833,0.481,957.2,797.0,39.679,6.099,2.143
2024-06-03 00:45:00,81.123,79.919,0.489,956.6,803.2,36.111,6.198,2.076
2024-06-03 01:00:00,80.778,78.355,0.562,969.5,809.8,33.839,6.171,2.038
2024-06-03 01:15:00,79.624,78.188,0.6,918.3,802.7,37.352,6.14,2.153
2024-06-03 01:30:00,80.229,78.924,0.475,977.2,804.8,38.672,6.252,1.951
2024-06-03 01:45:00,81.091,77.352,0.542,930.2,795.4,40.25,6.223,2.096
2024-06-03 02:00:00,80.496,79.026,0.533,984.6,787.5,41.27,6.323,1.99
2024-06-03 02:15:00,81.615,79.991,0.589,940.6,798.3,38.623,6.235,2.148
2024-06-03 02:30:00,80.591,76.177,0.583,958.4,805.2,40.342,6.176,1.985
2024-06-03 02:45:00,80.066,74.729,0.559,938.3,796.5,33.68,6.088,2.128
2024-06-03 03:00:00,80.168,78.721,0.494,968.8,798.8,39.522,6.409,2.156
2024-06-03 03:15:00,80.347,76.814,0.537,950.2,799.2,38.289,6.332,2.042
2024-06-03 03:30:00,81.65,78.181,0.621,947.1,807.7,37.696,6.123,2.082
2024-06-03 03:45:00,80.994,78.081,0.499,912.8,788.6,35.818,6.21,2.129
2024-06-03 04:00:00,80.493,73.479,0.542,936.7,816.8,36.377,6.165,2.169
2024-06-03 04:15:00,80.725,79.127,0.555,946.6,806.2,37.543,6.279,1.954
2024-06-03 04:30:00,80.664,78.357,0.525,939.5,795.0,37.071,6.168,1.973
2024-06-03 04:45:00,80.661,75.7,0.578,916.4,795.5,37.876,6.319,2.073
2024-06-03 05:00:00,80.394,78.997,0.466,939.1,816.0,39.238,6.206,2.088
2024-06-03 05:15:00,80.948,74.005,0.483,944.2,794.3,41.362,6.172,1.915
2024-06-03 05:30:00,79.866,72.501,0.541,936.2,796.6,40.942,6.308,2.038
2024-06-03 05:45:00,79.433,79.235,0.572,946.2,807.9,36.903,6.381,1.983
2024-06-03 06:00:00,80.875,74.625,0.513,970.3,797.9,40.512,6.221,2.043
2024-06-03 06:15:00,81.182,77.527,0.479,923.9,804.4,39.712,6.059,1.999
2024-06-03 06:30:00,80.209,77.269,0.495,927.4,794.2,40.389,6.273,2.04
2024-06-03 06:45:00,80.304,78.28,0.517,917.1,792.5,37.857,6.095,2.061
2024-06-03 07:00:00,80.865,74.826,0.551,935.6,802.7,38.977,6.069,1.962
2024-06-03 07:15:00,80.515,80.058,0.461,946.9,809.5,38.725,6.25,2.001
2024-06-03 07:30:00,80.44,74.758,0.456,958.9,792.1,38.18,6.075,1.951
2024-06-03 07:45:00,80.413,76.541,0.565,949.1,802.6,39.429,6.342,1.975
