%time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815.04167,   0,  96,  489,  0.5,  4.0, 100,  7.0,  0.0, 44.6, 61.1, 20.7,    0,   0,   1,   0, NaN,   0, 0.0003,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.04514,   0,  96,  500,  0.5,  4.0, 100,  7.0,  0.0, 46.9, 61.1, 20.7,    0,   0,   1,   0, NaN,   0, 0.0005,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.04861,   0,  96,  495,  0.5,  4.0, 100,  7.1,  0.0, 46.7, 60.8, 20.8,    0,   0,   1,   0, NaN,   0, 0.0006,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.05208,   0,  96,  525,  0.5,  4.0, 100,  7.1,  0.0, 45.3, 60.5, 20.8,    0,   0,   1,   0, NaN,   0, 0.0008,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.05556,   0,  96,  496,  0.5,  4.0, 100,  6.7,  0.0, 45.4, 62.2, 20.5,    0,   0,   1,   0, NaN,   0, 0.0006,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.05903,   0,  96,  498,  0.5,  4.0, 100,  6.7,  0.0, 48.4, 62.0, 20.5,    0,   0,   1,   0, NaN,   0, 0.0004,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.06250,   0,  96,  514,  0.5,  4.0, 100,  7.0,  0.0, 48.7, 61.4, 20.9,    0,   0,   1,   0, NaN,   0, 0.0003,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.06597,   0,  96,  496,  0.5,  4.0, 100,  7.2,  0.0, 46.9, 60.6, 21.0,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.06944,   0,  96,  492,  0.5,  4.0, 100,  6.9,  0.0, 45.8, 61.8, 20.7,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.07292,   0,  96,  483,  0.5,  4.0, 100,  6.8,  0.0, 46.4, 62.2, 20.8,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.07639,   0,  96,  500,  0.5,  4.0, 100,  6.9,  0.0, 48.6, 61.8, 20.7,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.07986,   0,  96,  496,  0.5,  4.0, 100,  7.0,  0.0, 48.9, 61.2, 20.8,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.08333,   0,  96,  514,  0.5,  4.0, 100,  7.0,  0.0, 47.0, 60.9, 20.7,    0,   0,   1,   0, NaN,   0, 0.0003,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.08681,   0,  96,  498,  0.0,  4.0, 100,  6.9,  0.0, 46.0, 61.7, 20.7,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.09028,   0,  96,  497,  0.0,  4.0, 100,  7.0,  0.0, 45.6, 61.5, 20.8,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.09375,   0,  96,  497,  0.0,  4.0, 100,  7.1,  0.0, 46.3, 61.3, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.09722,   0,  96,  493,  0.0,  4.0, 100,  7.1,  0.0, 47.7, 61.0, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.10069,   0,  96,  492,  0.0,  4.0, 100,  7.2,  0.0, 48.3, 60.6, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.10417,   0,  96,  493,  0.0,  4.0, 100,  6.9,  0.0, 47.6, 62.1, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.10764,   0,  96,  487,  0.0,  4.0, 100,  7.0,  0.0, 47.1, 61.7, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.11111,   0,  96,  492,  0.0,  4.0, 100,  7.1,  0.0, 46.9, 61.3, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.11458,   0,  96,  494,  0.0,  4.0, 100,  7.1,  0.0, 46.8, 60.9, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.11806,   0,  96,  492,  0.0,  4.0, 100,  7.0,  0.0, 46.5, 61.6, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.12153,   0,  96,  490,  0.0,  4.0, 100,  7.0,  0.0, 46.3, 61.4, 20.9,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.12500,   0,  96,  495,  0.0,  4.0, 100,  7.1,  0.0, 46.5, 61.1, 21.0,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.12847,   0,  96,  498,  0.0,  4.0, 100,  6.9,  0.0, 46.5, 61.7, 20.8,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.13194,   0,  96,  498,  0.0,  4.0, 100,  6.9,  0.0, 46.5, 62.0, 20.9,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.13542,   0,  96,  501,  0.0,  4.0, 100,  7.0,  0.0, 46.7, 61.5, 21.0,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.13889,   0,  96,  485,  0.0,  4.0, 100,  7.1,  0.0, 46.8, 61.1, 21.0,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.14236,   0,  96,  495,  0.0,  4.0, 100,  7.0,  0.0, 46.9, 61.9, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.14583,   0,  96,  493,  0.0,  4.0, 100,  7.0,  0.0, 47.2, 62.0, 21.0,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.14931,   0,  96,  487,  0.0,  4.0, 100,  7.1,  0.0, 47.3, 61.5, 21.1,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.15278,   0,  96,  498,  0.0,  4.0, 100,  7.1,  0.0, 47.6, 61.2, 21.0,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.15625,   0,  96,  493,  0.0,  4.0, 100,  7.0,  0.0, 47.8, 61.7, 21.0,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.15972,   0,  96,  495,  0.0,  4.0, 100,  7.0,  0.0, 47.8, 61.8, 21.0,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.16319,   0,  96,  490,  0.0,  4.0, 100,  7.2,  0.0, 48.0, 61.4, 21.3,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.16667,   0,  96,  511,  0.0,  4.0, 100,  7.0,  0.0, 48.0, 61.9, 21.0,    0,   0,   1,   0, NaN,   0, 0.0003,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.17014,   0,  96,  495,  0.0,  4.0, 100,  7.1,  0.0, 48.6, 61.6, 21.2,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.17361,   0,  96,  495,  0.0,  4.0, 100,  7.0,  0.0, 48.6, 62.0, 21.1,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.17708,   0,  96,  493,  0.0,  4.0, 100,  7.1,  0.0, 48.9, 61.8, 21.2,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.18056,   0,  96,  495,  0.0,  4.0, 100,  7.2,  0.0, 48.0, 61.5, 21.3,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.18403,   0,  96,  503,  0.0,  4.0, 100,  6.8,  0.0, 46.1, 62.8, 21.0,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.18750,   0,  96,  495,  0.0,  4.0, 100,  6.9,  0.0, 45.8, 62.5, 21.1,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.19097,   0,  96,  494,  0.0,  4.0, 100,  7.0,  0.0, 46.2, 62.1, 21.1,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.19444,   0,  96,  510,  0.0,  4.0, 100,  7.0,  0.0, 46.4, 62.0, 21.1,    0,   0,   1,   0, NaN,   0, 0.0003,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.19792,   0,  96,  504,  0.0,  4.0, 100,  7.1,  0.0, 46.9, 61.6, 21.2,    0,   0,   1,   0, NaN,   0, 0.0004,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.20139,   0,  96,  495,  0.0,  4.0, 100,  7.1,  0.0, 47.3, 61.4, 21.1,    0,   0,   1,   0, NaN,   0, 0.0003,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.20486,   0,  96,  510,  0.0,  4.0, 100,  7.1,  0.0, 47.7, 61.4, 21.0,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.20833,   0,  96,  490,  0.0,  4.0, 100,  7.1,  0.0, 47.0, 61.4, 21.0,    0,   0,   1,   0, NaN,   0, 0.0001,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  0.0,  NaN, 1000,  NaN,  1.2
43815.21181,   0,  96,  498,  0.2,  4.0, 100,  7.0,  0.0, 46.5, 61.5, 21.0,    0,   0,   0,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  2.0,  NaN, 1000,  NaN,  1.2
